status,sources,category,title,summary,description,value,tags,link,query,contact,identifier
1,solarscout,Climate and Solar Data,Solar DataSet Query,This API tells users the closest climate data for a location.,"The Solar DataSet Query tool API tells users the closest
location for one of several standard sets of solar data.","The geospatial location of TMY2, TMY3, etc. files can be difficult to code.",api,http://developer.nrel.gov/docs/solar/data-query-v1/,,Anthony Lopez,c4fea6b6-3c7d-4237-b944-7c78f53717b7
1,solarscout,Climate and Solar Data,Solar Resource Data API,"This tool returns various types of solar data for a location: average direct normal irradiance, average global horizontal irradiance, and average tilt at latitude.","This tool returns various types of solar data for a location. It currently returns data for average direct normal irradiance, average global horizontal irradiance, and average tilt at latitude.",The Solar Resource Data API matches the average data provided within the Solar Prospector.,api,http://developer.nrel.gov/docs/solar/solar-resource-v1/,,Anthony Lopez,6eb24682-c220-4fd7-aa8c-88e105bd11b3
1,solarscout,Cost and Economic Analyses,Community Solar Scenario Tool (CSST),"Users can see how various inputs such as system size, location, and project costs, impact the economics of a project from the perspectives of both a potential customer and the sponsoring utility.","The Community Solar Scenario Tool (CSST) provides a ""first cut"" analysis of different community or shared solar program options. The tool has been created primarily for smaller municipal utilities, electric cooperatives, and state and local advocates. This model allows users to see how various inputs, such as system size, location, and project costs, impact the economics of a project from the perspectives of both a potential customer and the sponsoring utility.","The CSST allows users to get an idea of the community solar project economics without having to use a more sophisticated tool such as SAM. It is intended as a ""first look"" tool.",xls,http://www.nrel.gov/tech_deployment/tools_community_solar.html,,John Nangle,
1,"solarscout,sunshot",Cost and Economic Analyses,Cost of Renewable Energy Spreadsheet Tool (CREST),"CREST is a cash-flow model that allows users to assess solar, wind, or geothermal projects, design cost-based incentives, and evaluate the impact of tax incentives or other support structures.","The Cost of Renewable Energy Spreadsheet Tool (CREST) is an economic cash flow model designed to allow policymakers, regulators, and the renewable energy community to assess project economics, design cost-based incentives (e.g., feed-in tariffs), and evaluate the impact of various state and federal support structures. CREST is a suite of four analytic tools, for solar (photovoltaic and solar thermal), wind, geothermal, and anaerobic digestion technologies.

The model is a product of a 2009-2010 partnership between the National Renewable Energy Laboratory (NREL), the U.S. Department of Energy (DOE) Solar Energy Technologies Program (SETP), and the National Association of Regulatory Utility Commissions (NARUC). The model was developed by Sustainable Energy Advantage (SEA) under the direction of NREL.",CREST is an easy-to-use project analysis tool.,xls,https://financere.nrel.gov/finance/content/crest-cost-energy-models,CREST+tags:solar,Mike Mendelsohn,
1,sunshot,Cost and Economic Analyses,Database of State Incentives for Renewables & Efficiency,DSIRE is THE comprehensive source of information on incentives and rebates with regard to renewables and energy efficiency in the US.,"DSIRE is the most comprehensive source of information on incentives and policies that support renewables and energy efficiency in the United States. Established in 1995, DSIRE is operated by the N.C. Clean Energy Technology Center at N.C. State University and is funded by the U.S. Department of Energy.",This tool can be used by organizations to understand and assess which renewable policies are effective and to meet the needs and desired outcomes based on locality.,web,http://www.dsireusa.org/,,,
1,solarscout,Cost and Economic Analyses,Energy Incentives API,This API lists the incentives found in the Database for State Incentives for Renewables and Efficiency (DSIRE) spreadsheet by location.,The Energy Incentives tool API lists the incentives found in the DSIRE quantitative spreadsheet by location. This is the current version of the energy incentives API. Previous versions have been depreciated and its users are encouraged to migrate to this newly enhanced version. Note that this data has not been updated for over a year because of the DSIRE hiatus.,This tool provides a quantitative way to get the DSIRE data into online tools.,api,http://developer.nrel.gov/docs/electricity/energy-incentives-v1/,,Dan Getman,45550ec5-f745-49a9-a2e6-01bf76022455
1,"solarscout,sunshot",Cost and Economic Analyses,Photo Voltaic Jobs and Economic Development Impact (PV JEDI),This model estimates the economic impacts of constructing and operating PV power generation at the local and state levels.,"The Jobs and Economic Development Impact (JEDI) Photovoltaics (PV) model estimates the economic impacts of constructing and operating photovoltaic power generation at the local and state levels. On this site, users can download the model for free, learn more about how JEDI works, understand the output, and get answers to questions about using the model.",This tool provides a robust and impartial description of the number of jobs from a particular plant.,xls,http://www.nrel.gov/analysis/jedi/,Jobs+Economic+Development+Impact,Dan Getman,
1,sunshot,Cost and Economic Analyses,Solar Roadmap,A comprehensive set of online tools and expert resources to achieve local communitys' clean energy goals.,"The Solar Roadmap organizes national best practices and makes them easily accessible for government agencies, regional organizations, residents, businesses and electric utilities in an interactive platform. Communities who use the Solar Roadmap drive economic growth and environmental improvements through actionable steps to increase cost-effective installation of solar systems.",Detailed guidance on specific actions with the potential highest impact and organizes them into simplified steps to getting them done.,web,http://www.solarroadmap.com/,,,
1,sunshot,Cost and Economic Analyses,System Advisor Model (SAM),Performance and economic model for decision making in the renewable energy industry.,"The System Advisor Model (SAM) is a performance and financial model designed to facilitate decision making for people involved in the renewable energy industry. SAM makes performance predictions and cost of energy estimates for grid-connected power projects based on installation and operating costs and system design parameters that you specify as inputs to the model. Projects can be either on the customer side of the utility meter, buying and selling electricity at retail rates, or on the utility side of the meter, selling electricity at a price negotiated through a power purchase agreement (PPA).","Windows or Macintosh native application with SDK, support forum, documentation - it's a full blown portal.","application,portal,sdk",http://sam.nrel.gov/,system+advisor+model+tags:solar,,
1,sunshot,Developer Resource,Energy Information Administration API,List of API and resources used for other Dept. of Energy Hackathons.,List of API and resources used for other Dept. of Energy Hackathons.,Explore useful data sources for past hackathons.,portal,http://energychallenge.energy.gov/a/pages/featured-inputs,tags:solar+api,,
1,solarscout,Mapping Tools and Data,MapSearch,MapSearch enables you to search NREL's collection of maps created by the Geographic Information System (GIS) team.,Use MapSearch to easily search NREL's collection of maps created by the Geographic Information System (GIS) team. Please use the search box and the filters on the left of the screen to limit results.,MapSearch provides broader accessibility to maps that are often buried in a single publication.,gis,http://www.nrel.gov/gis/mapsearch/index-b.html,,Dan Getman,
1,solarscout,Mapping Tools and Data,Solar and Wind Energy Resource Assessment (SWERA) Model,SWERA uses NREL's geospatial toolkit and OpenEI to depict solar and wind resource data in 13 developing countries.,SWERA uses NREL's geospatial toolkit and OpenEI to depict solar and wind resource data in 13 developing countries.,"The app allows users to view, compare, and interact with several data sets. The goal is to provide access to highquality data, on a global scale, that can help facilitate renewable energy policies and investments.",gis,http://en.openei.org/apps/SWERA/,,Jon Weers,
1,sunshot,Mapping Tools and Data,Solar Energy Environmental Mapper,Web application for utility scale renewable development in southwestern US.,"The Solar Energy Environmental Mapper is a web-based application that displays environmental data for the southwest U.S. in the context of utility-scale solar energy development. It provides access to screening-level data about resources and constraints, with analysis tools to help improve siting decisions.","Provides fast, easy access to a wide variety of spatial data through a browser.",web,https://catalog.data.gov/dataset/solar-energy-environmental-mapper,Solar+Energy+Environmental+Mapper+tags:solar,,
1,"solarscout,sunshot",Mapping Tools and Data,Solar Prospector,"This tool allows users to examine, distribute, and analyze solar resource data for the United States and assists in making decisions about optimal locations for solar plants.","This tool shows sites for developing utility-scale solar power. It allows users to examine, distribute, and analyze solar resource data for the United States and assists in making decisions about optimal locations for solar plants. It also allows users to explore temporal and spatial aspects of NREL's solar resource data and download the resource data for use outside of the tool, for example, in the System Advisor Model or SAM.","Solar Prospector assists the solar industry by providing critical information about the location of solar resources, land ownership, and general infrastructure in an easy-touse map format. Users can quickly download hourly solar resource data for specific locations and quickly perform temporal analyses for any location in the United States.",web,http://maps.nrel.gov/prospector,,Dan Getman,
1,"solarscout,sunshot",Market Data,Open PV Project,The OpenPV Project provides real-time status of the solar PV market (price and installed capacity data at the state level) in the U.S.,"The OpenPV Project is a collaborative effort among government, industry, and the public to compile a comprehensive database of PV installation data for the United States, providing PV system price and installed capacity data at the state level.","The data collected is actively maintained by the contributors and are always changing to provide an evolving, up-to-date snapshot of the U.S. solar power market. Additionally, the application provides several innovative interactive tools to explore the information and derive knowledge from the data in the database.",web,https://openpv.nrel.gov/,open+pv+project+tags:solar,Dan Getman,
1,solarscout,Market Data,Solar Deployment System (Solar DS),"A market diffusion tool used to explore rooftop PV market potential in the United States, and the sensitivity of rooftop PV demand to several market factors.","SolarDS is a market diffusion tool used to explore rooftop PV market potential in the United States, and the sensitivity of rooftop PV demand to several market factors.","SolarDS is the primary tool used to evaluate future PV market potential, and the sensitivity of rooftop demand to several key factors.",pdf,http://www.nrel.gov/docs/fy10osti/45832.pdf,,Easan Drury,
1,sunshot,Open Energy Information,Green Button Data,Green Button is a secure way to get your energy usage information electronically.,"A set of RESTful API methods and an XML data standard allowing consumers to access their energy usage data and securely share that data with third-party web and mobile apps. Today, 48 utilities and electricity suppliers have committed to enable their customers with ""Green Button"" access. Over 42 million household and business customers already have access to their Green Button energy data.","Allows data to be exchanged between Utilities, Customers, and Third Party Services Providers.","api,xls,xml",https://services.greenbuttondata.org/sample-data-new.html,,Marty Burns,
